樂term,樂count,好term,好count,怒term,怒count,哀term,哀count,懼term,懼count,惡term,惡count,驚term,驚count,否定詞,否定詞count,程度詞,程度詞count,頻率詞,頻率詞count
灑脫,64
遊戲,145
不怕,356
快活,16
問心無愧,2
歡迎,30
快感,12
快樂,1024
便當,7
適可而止,4
不怕,356
幸福,987
微笑,595
笑容,279
微笑,595
笑容,279
笑容,279
快樂,1024
快樂,1024
歡呼,11
歡呼,11
歡呼,11
快樂,1024
幸福,987
釋懷,55
幸福,987
幸福,987
熱鬧,33
依偎,46
安慰,167
微笑,595
好過,45
青春,229
好過,45
青春,229
青春,229
願望,97
成功,42
出頭,12
歡笑,22
歡笑,22
歡笑,22
灑脫,64
灑脫,64
快樂,1024
笑容,279
笑容,279
和平,12
微笑,595
歡愉,3
和平,12
微笑,595
和平,12
微笑,595
幸福,987
幸福,987
幸福,987
幸福,987
幸福,987
狂歡,68
解放,17
巧遇,3
天堂,207
釋懷,55
青春,229
青春,229
青春,229
青春,229
青春,229
青春,229
天堂,207
青春,229
釋懷,55
開心,252
歡聲笑語,1
滿足,69
滿足,69
滿足,69
幸福,987
幸福,987
幸福,987
幸福,987
幸福,987
火花,27
願望,97
幸福,987
陽光,277
願望,97
幸福,987
陽光,277
微笑,595
幸福,987
幸福,987
幸福,987
心安,8
慶幸,42
快樂,1024
幸福,987
快樂,1024
微笑,595
快樂,1024
快樂,1024
幸福,987
幸福,987
願意,289
得救,6
得救,6
灑脫,64
原諒,195
微笑,595
微笑,595
微笑,595
微笑,595
享受,121
甜蜜,251
花絮,3
安逸,6
安逸,6
享受,121
甜蜜,251
花絮,3
安逸,6
安逸,6
揭幕,1
灑脫,64
歡樂,16
精神,15
自然,65
熱烈,14
和解,26
和解,26
激烈,8
自然,65
自然,65
熱烈,14
自然,65
淡然,3
淡然,3
安慰,167
快樂,1024
安慰,167
快樂,1024
青春,229
幸福,987
豁然開朗,3
情人,114
情人,114
情人,114
任憑,16
任憑,16
任憑,16
相逢,21
圓滿,14
相逢,21
圓滿,14
圓滿,14
願意,289
彩虹,159
普通,36
微笑,595
歡喜,14
歡喜,14
喜出望外,2
喜出望外,2
遊戲,145
遊戲,145
歡迎,30
賓士,13
興致,1
願意,289
天堂,207
願意,289
擺脫,23
滿足,69
快樂,1024
快樂,1024
陽光,277
幸福,987
快感,12
消遣,11
消遣,11
解決,20
解決,20
微笑,595
不怕,356
安慰,167
不怕,356
彩虹,159
開心,252
慶祝,32
不怕,356
安慰,167
不怕,356
安慰,167
安慰,167
熱戀,29
青春,229
享受,121
歡樂,16
狂歡,68
享受,121
飛翔,121
平安,10
情願,43
熱烈,14
乾脆,37
熱烈,14
乾脆,37
幸福,987
成就,30
幸福,987
成就,30
清爽,6
清爽,6
開心,252
不怕,356
起來,220
歡快,2
神采飛揚,1
清爽,6
清爽,6
開心,252
不怕,356
開心,252
清爽,6
清爽,6
微笑,595
微笑,595
飛翔,121
微笑,595
微笑,595
癒合,41
陽光,277
彩虹,159
彩虹,159
笑容,279
品嚐,20
成功,42
普通,36
品嚐,20
成功,42
幸福,987
願意,289
幸福,987
願意,289
幸福,987
願意,289
傲視,2
傲視,2
快樂,1024
狂歡,68
願意,289
幸福,987
傾吐,3
願意,289
幸福,987
幸福,987
願意,289
幸福,987
幸福,987
幸福,987
眉飛色舞,2
眉飛色舞,2
開心,252
開心,252
幸福,987
幸福,987
得救,6
得救,6
灑脫,64
原諒,195
開胃,2
快樂,1024
大笑,15
開胃,2
快樂,1024
任憑,16
遊戲,145
相逢,21
相逢,21
相逢,21
熱烈,14
微笑,595
微笑,595
幸福,987
美妙,29
幸福,987
快樂,1024
快樂,1024
快樂,1024
歡愉,3
快感,12
狂歡,68
狂歡,68
好過,45
自然,65
願意,289
自然,65
願意,289
願意,289
自然,65
願意,289
青春,229
願意,289
願意,289
願意,289
願意,289
願意,289
放心,79
放心,79
享受,121
放心,79
願望,97
願望,97
願望,97
微笑,595
美妙,29
遊戲,145
天堂,207
自然,65
得意,11
輕鬆,124
輕鬆,124
得意,11
幸福,987
滿足,69
滿足,69
幸福,987
幸福,987
打扮,17
精神,15
自然,65
大笑,15
大笑,15
陽光,277
願望,97
幸福,987
不怕,356
青春,229
願望,97
幸福,987
飛翔,121
陽光,277
願望,97
幸福,987
不怕,356
青春,229
願望,97
幸福,987
飛翔,121
願望,97
幸福,987
不怕,356
青春,229
願望,97
幸福,987
飛翔,121
飛翔,121
約會,46
安慰,167
安慰,167
嬉笑,2
原諒,195
微笑,595
原諒,195
遊戲,145
快樂,1024
遊戲,145
遊戲,145
彩虹,159
笑容,279
自在,21
盡情,49
