樂term,樂count,好term,好count,怒term,怒count,哀term,哀count,懼term,懼count,惡term,惡count,驚term,驚count,否定詞,否定詞count,程度詞,程度詞count,頻率詞,頻率詞count
痛快,10
青春,409
青春,409
青春,409
青春,409
青春,409
青春,409
陽光,206
高漲,1
繾綣,10
坦然,13
品嚐,9
享受,117
原諒,79
安穩,12
原諒,79
青春,409
如願以償,1
笑容,146
笑容,146
遊戲,93
遊戲,93
願望,55
滿足,36
快樂,279
遊戲,93
開心,124
享受,117
享受,117
獲得,8
平靜,35
獲得,8
平靜,35
享受,117
狂歡,21
享受,117
願意,96
激烈,3
任憑,28
好過,13
快樂,279
笑顏,14
快樂,279
成功,45
青春,409
青春,409
青春,409
青春,409
幸福,128
自然,45
安然,2
青春,409
賓士,20
飛越,18
快樂,279
賓士,20
飛越,18
快樂,279
青春,409
哈哈,7
若無其事,11
平靜,35
平靜,35
平靜,35
快樂,279
青春,409
願意,96
陽光,206
遊戲,93
遊戲,93
徜徉,18
照耀,13
打扮,8
自在,39
隨遇而安,2
火花,2
青春,409
青春,409
陽光,206
不怕,108
不怕,108
不怕,108
快樂,279
邂逅,19
開心,124
笑容,146
洋溢,6
幸福,128
奪標,1
舒服,36
舒服,36
快樂,279
舒坦,2
舒坦,2
遊戲,93
遊戲,93
陽光,206
青春,409
原諒,79
熱烈,28
笑臉,61
熱烈,28
笑臉,61
青春,409
快樂,279
願意,96
狂歡,21
自然,45
自然,45
樂觀,8
幸福,128
樂園,16
陽光,206
彩虹,85
彩虹,85
起來,106
平淡,16
心安,3
歡聲,3
笑語,7
圓滿,5
平淡,16
心安,3
歡聲,3
笑語,7
圓滿,5
平淡,16
心安,3
歡聲,3
笑語,7
圓滿,5
原諒,79
和光同塵,3
安穩,12
和光同塵,3
快樂,279
和光同塵,3
原諒,79
狂歡,21
笑臉,61
開花結果,4
柳暗花明,1
撫慰,8
笑容,146
情人,28
嬉笑,2
願意,96
原諒,79
原諒,79
樂園,16
起來,106
願意,96
笑容,146
飛揚,12
順暢,1
運氣,7
輕鬆,110
輕鬆,110
包容,11
任憑,28
陽光,206
陽光,206
享受,117
淡薄,6
淡薄,6
幸福,128
微笑,154
自然,45
自然,45
自然,45
自然,45
微笑,154
約會,16
約會,16
約會,16
青春,409
青春,409
願望,55
願望,55
快樂,279
快樂,279
灑脫,23
解脫,27
釋懷,29
解脫,27
彩虹,85
笑容,146
歡笑,41
快樂,279
不怕,108
花朵,35
微笑,154
彩虹,85
遊戲,93
放心,41
喜悅,11
順從,4
輕快,3
自在,39
驚喜,11
開心,124
遊戲,93
微笑,154
陽光,206
彩虹,85
彩虹,85
不怕,108
快樂,279
安慰,64
青春,409
不怕,108
幸福,128
平淡,16
熱鬧,33
熱鬧,33
巧遇,3
幸運,22
享受,117
熱鬧,33
笑容,146
自在,39
還願,1
普通,16
普通,16
陽光,206
有恃無恐,5
有恃無恐,5
有恃無恐,5
有恃無恐,5
有恃無恐,5
安康,8
安康,8
飛翔,102
不慌不忙,8
安康,8
安康,8
飛翔,102
不慌不忙,8
安康,8
安康,8
飛翔,102
不慌不忙,8
原諒,79
青春,409
笑容,146
彩虹,85
青春,409
熱鬧,33
任憑,28
陽光,206
高昂,6
任憑,28
陽光,206
高昂,6
任憑,28
享受,117
陽光,206
高昂,6
青春,409
幸運,22
不怕,108
笑臉,61
享受,117
願意,96
願意,96
擺脫,17
快樂,279
自然,45
起來,106
熱鬧,33
狂歡,21
大笑,11
調侃,4
知足,6
灑脫,23
熱鬧,33
狂歡,21
大笑,11
調侃,4
狂歡,21
狂歡,21
樂觀,8
開懷,2
熱烈,28
寧靜,6
陽光,206
遊戲,93
開心,124
享受,117
享受,117
開心,124
痛快,10
自然,45
樂園,16
起來,106
起來,106
起來,106
笑容,146
滿足,36
享受,117
開心,124
享受,117
快樂,279
快樂,279
邂逅,19
快樂,279
開心,124
快樂,279
開心,124
乾脆,14
樂觀,8
不怕,108
好玩,12
乾脆,14
樂觀,8
不怕,108
好玩,12
乾脆,14
樂觀,8
不怕,108
好玩,12
打扮,8
幸福,128
品嚐,9
願意,96
願意,96
願意,96
幸福,128
青春,409
快樂,279
消遣,11
青春,409
青春,409
釋懷,29
不怕,108
慶祝,8
遊戲,93
陽光,206
重聚,3
快樂,279
快樂,279
幸福,128
幸福,128
遊戲,93
灑脫,23
灑脫,23
青春,409
青春,409
